gene	MvsTFC	MvsLFC	MvsSFC	TvsLFC	TvsSFC	LvsSFC						
SCO1698	1,19	1,25	2,47	1,05	2,08	1,99						
SCO1699	1,86	3,24	19,63	1,74	10,53	6,06						
SCO1700	2,72	4,86	39,14	1,78	14,37	8,06						
SCO1701	1,09	1,16	0,46	1,07	0,43	0,40						
SCO1702	1,32	1,31	2,63	1,00	1,99	2,00						
SCO1707	2,14	1,32	2,50	0,62	1,17	1,89						
SCO1708	2,76	0,58	0,40	0,21	0,14	0,69						
SCO1709	3,60	0,36	0,24	0,10	0,07	0,67						
SCO1710	4,59	0,38	0,22	0,08	0,05	0,59						
SCO1712	1,76	0,64	1,33	0,36	0,75	2,07						
SCO1713	1,39	0,42	0,67	0,30	0,48	1,60						
SCO1714	1,74	0,48	1,07	0,28	0,62	2,21						
SCO1715	1,61	1,77	8,59	1,10	5,33	4,86						
SCO1716	1,50	1,25	4,25	0,83	2,84	3,41						
SCO1719	1,01	1,22	0,60	1,21	0,60	0,49						
SCO1720	0,57	0,55	0,40	0,95	0,70	0,73						
SCO1722	3,53	8,10	157,17	2,30	44,54	19,40						
SCO1723	2,65	9,06	179,75	3,43	67,93	19,83						
SCO1724	1,57	2,31	5,83	1,47	3,71	2,52						
SCO1725	3,88	8,47	118,01	2,19	30,45	13,93						
SCO1726	1,89	4,04	4,80	2,14	2,55	1,19						
SCO1731	0,99	1,20	4,94	1,22	5,02	4,10						
SCO1732	1,82	2,11	4,95	1,16	2,72	2,35						
SCO1734	1,04	1,37	55,09	1,32	53,13	40,15						
SCO1737	1,25	0,48	1,30	0,38	1,03	2,72						
SCO1738	0,93	0,67	7,42	0,72	7,99	11,05						
SCO1739	1,01	0,37	3,22	0,36	3,17	8,75						
SCO1741	0,96	2,07	7,87	2,14	8,17	3,81						
SCO1745	1,22	1,30	2,19	1,07	1,80	1,68						
SCO1746	0,78	0,85	4,28	1,09	5,50	5,03						
SCO1749	1,73	1,78	4,41	1,03	2,54	2,47						
SCO1752	0,73	0,64	0,37	0,87	0,51	0,59						
SCO1753	0,64	1,88	3,89	2,96	6,12	2,07						
SCO1754	2,30	1,21	0,96	0,52	0,42	0,80						
SCO1755	0,68	0,52	1,41	0,77	2,08	2,71						
SCO1756	2,20	78,39	58,72	35,68	26,73	0,75						
SCO1757	1,47	36,07	23,42	24,57	15,95	0,65						
SCO1758	0,52	0,67	0,50	1,27	0,95	0,75						
SCO1759	0,68	0,59	0,43	0,87	0,62	0,72						
SCO1765	1,14	0,83	0,39	0,73	0,34	0,47						
SCO1767	0,65	0,78	0,36	1,20	0,56	0,47						
SCO1769	0,73	0,54	0,38	0,74	0,52	0,70						
SCO1770	0,52	0,29	0,27	0,56	0,51	0,90						
SCO1773	1,92	0,21	0,19	0,11	0,10	0,89						
SCO1776	0,53	0,34	0,18	0,65	0,33	0,51						
SCO1777	0,67	1,48	1,27	2,20	1,89	0,86						
SCO1785	0,80	0,10	0,64	0,12	0,79	6,44						
SCO1786	0,54	0,07	0,37	0,14	0,68	4,97						
SCO1787	0,68	0,14	0,35	0,20	0,52	2,55						
SCO1789	0,75	0,43	0,30	0,58	0,40	0,69						
SCO1790	0,47	0,37	0,24	0,80	0,52	0,65						
SCO1791	0,48	0,46	0,32	0,95	0,66	0,70						
SCO1792	0,75	0,53	0,27	0,71	0,35	0,50						
SCO1795	3,76	3,97	13,68	1,06	3,64	3,45						
SCO1796	1,67	3,33	3,54	1,99	2,11	1,06						
SCO1798	1,40	0,82	0,63	0,58	0,45	0,76						
SCO1799	0,89	0,53	0,35	0,60	0,40	0,66						
SCO1800	3,83	247,05	112,95	64,44	29,46	0,46						
SCO1807	1,58	1,33	4,32	0,84	2,73	3,25						
SCO1808	1,27	0,45	0,68	0,35	0,54	1,52						
SCO1809	1,45	2,48	3,48	1,71	2,40	1,40						
SCO1810	0,85	0,38	0,58	0,45	0,68	1,52						
SCO1811	0,97	0,46	0,43	0,47	0,44	0,93						
SCO1812	0,60	0,43	0,22	0,72	0,37	0,52						
