Gene	Average log2 MII24h/MI12h	Average log2 MII48h/MI12h	Average log2 MII72h/MI12h
SCO1836	0,483	0,676	1,175
SCO2586	0,272	1,515	1,173
SCO2235	0,61	0,895	1,172
SCO6914	1,385	1,284	1,167
SCO0379	2,503	0,753	1,165
SCO2962	0,917	1,397	1,158
SCO1636	0,588	1,223	1,157
SCO4701	1,348	1	1,156
SCO2010	2,449	2,171	1,145
SCO6717	0,957	1,529	1,145
SCO6631	1,76	1,445	1,14
SCO7633	0,724	0,984	1,14
SCO1656	0,283	0,81	1,139
SCO5540	0,804	1,039	1,137
SCO6762	0,934	1,102	1,133
SCO4798	1,425	1,598	1,131
SCO6415	0,633	0,936	1,13
SCO6638	1,448	1,361	1,126
SCO5047	0,331	1,332	1,123
SCO1422	0,643	0,841	1,12
SCO3800	-1,867	1,373	1,119
SCO5862	1,008	0,706	1,113
SCO6709	0,358	0,986	1,112
SCO2006	0,397	1,093	1,11
SCO7329	0,503	1,101	1,109
SCO7108	0,629	0,53	1,106
SCO4884	1,191	1,14	1,095
SCO1082	0,691	1,667	1,093
SCO2765	0,81	1,186	1,092
SCO6092	0,983	1,051	1,091
SCO1085	0,779	1,277	1,089
SCO6409	0,675	0,316	1,087
SCO2240	2,062	1,49	1,083
SCO0378	1,058	0,582	1,083
SCO4872	0,455	0,684	1,081
SCO5230	1,065	2,004	1,08
SCO0702	1,621	1,547	1,078
SCO5147	0,502	1,056	1,07
SCO3128	0,79	1,417	1,067
SCO4854	0,891	1,176	1,066
SCO2838	0,729	0,982	1,06
SCO5016	0,524	1,629	1,059
SCO0374	0,679	1,424	1,055
SCO7095	0,513	0,709	1,054
SCO5270	0,486	1,348	1,053
SCO3055	0,612	1,098	1,051
SCO0119	0,7	0,944	1,046
SCO3848	0,693	1,077	1,045
SCO0686	0,521	0,854	1,045
SCO0359	0,564	1,073	1,042
SCO6961	0,67	1,038	1,042
SCO1230	1,708	1,424	1,041
SCO0883	0,466	0,76	1,039
SCO1948	0,459	1,82	1,037
SCO5570	1,03	0,877	1,037
SCO6411	1,293	1,272	1,036
SCO2885	0,988	1,159	1,036
SCO1550	-0,857	-0,469	1,036
SCO5022	1,186	1,425	1,035
SCO3537	0,723	0,782	1,032
SCO2868	1,88	1,179	1,03
SCO6395	0,571	1,014	1,029
SCO4910	0,57	0,753	1,029
SCO7497	0,496	1,258	1,028
SCO2068	1,127	1,967	1,025
SCO5723	0,823	0,865	1,019
SCO5590	0,725	0,487	1,019
SCO6681	0,814	2,363	1,017
SCO5598	0,683	0,655	1,017
SCO4453	0,316	0,731	1,015
SCO6973	0,492	0,898	1,012
SCO6151	0,662	0,781	1,01
SCO7600	-0,834	0,55	1,01
SCO6044	0,743	1,003	1,009
SCO6724	0,572	0,639	1,006
SCO4516	1,412	1,071	1,005
SCO5863	0,581	0,519	1,005
SCO1469	0,625	1,123	1,004
SCO6005	1,853	1,201	1,001
SCO0603	0,454	0,875	0,998
SCO1164	0,59	0,938	0,995
SCO4823	0,719	1,005	0,99
SCO0503	0,681	1,151	0,989
SCO0135	0,703	0,485	0,988
SCO4238	1,196	1,249	0,985
SCO2256	-0,455	1,554	0,978
SCO2517	0,581	0,638	0,972
SCO5627	1,148	0,918	0,97
SCO3371	0,82	1,712	0,969
SCO7192	1,117	0,675	0,969
SCO0572	0,993	1,818	0,967
SCO7715	0,92	1,047	0,964
SCO4992	1,138	0,998	0,96
SCO6462	0,513	0,758	0,96
SCO2192	0,801	1,088	0,957
SCO1599	0,686	0,803	0,955
SCO4563	-0,935	0,793	0,952
SCO7580	0,905	1,051	0,951
SCO6683	0,885	2,055	0,947
SCO1772	0,879	0,879	0,947
SCO1657	0,415	1,341	0,945
SCO2371	1,521	0,711	0,944
SCO1101	0,867	1,267	0,943
SCO6628	1,145	1,064	0,943
SCO4573	-0,937	0,853	0,939
SCO4792	0,291	1,078	0,938
SCO6962	0,596	0,868	0,938
SCO4796	0,569	1,182	0,936
SCO1637	0,478	1,245	0,932
SCO4572	-2,139	0,885	0,927
SCO2611	0,625	0,334	0,926
SCO1078	0,87	1,083	0,921
SCO5112	1,434	1,363	0,92
SCO2880	2,325	1,497	0,913
SCO6410	0,877	0,677	0,91
SCO5421	1,032	1,53	0,909
SCO6630	1,291	1,013	0,909
SCO6766	2,531	1,089	0,908
SCO0485	0,514	0,628	0,903
SCO2654	0,505	1,103	0,902
SCO2655	1,02	1,098	0,902
SCO5513	0,759	1,181	0,901
SCO0599	0,592	0,658	0,899
SCO6007	1,692	0,998	0,891
SCO5148	0,709	0,775	0,89
SCO2597	0,809	0,752	0,887
SCO0866	1,124	1,665	0,886
SCO0677	0,712	1,514	0,878
SCO2801	0,974	1,29	0,876
SCO1998	0,732	0,837	0,874
SCO2961	0,787	1,065	0,873
SCO2077	0,764	0,793	0,873
SCO1721	0,952	0,775	0,873
SCO6763	1,012	0,998	0,869
SCO2330	0,422	0,924	0,869
SCO3618	0,466	0,479	0,869
SCO2124	0,698	0,562	0,865
SCO1105	3,24	1,78	0,864
SCO5408	0,986	0,921	0,862
SCO3971	0,414	1,089	0,861
SCO4859	1,219	1,216	0,859
SCO3780	0,462	1,008	0,859
SCO5664	0,914	0,804	0,853
SCO7444	0,627	1,005	0,849
SCO5783	-0,426	0,954	0,847
SCO4076	0,505	0,428	0,846
SCO2384	1,116	0,744	0,841
SCO4134	1,017	0,764	0,84
SCO3835	1,925	0,526	0,833
SCO7802	0,703	0,937	0,828
SCO1504	0,414	0,933	0,828
SCO6784	0,48	1,306	0,824
SCO5356	0,55	0,851	0,823
SCO6222	0,59	0,57	0,819
SCO2786	0,733	0,939	0,816
SCO5857	0,869	0,829	0,814
SCO2608	0,991	0,753	0,813
SCO5007	0,417	0,723	0,813
SCO6004	1,019	0,784	0,811
SCO0571	0,891	1,624	0,81
SCO1108	0,713	0,629	0,81
SCO1123	0,418	0,386	0,808
SCO7728	0,984	0,839	0,807
SCO7447	-0,648	0,591	0,806
SCO7250	0,42	0,743	0,805
SCO1633	0,898	0,82	0,801
SCO4993	0,571	1,068	0,796
SCO5443	0,455	0,649	0,796
SCO4822	0,698	0,895	0,795
SCO5395	0,593	0,602	0,793
SCO0590	0,459	0,945	0,791
SCO7716	0,418	0,471	0,791
SCO6731	0,493	1,686	0,79
SCO4129	0,629	0,755	0,79
SCO7131	0,59	0,474	0,789
SCO3423	1,893	1,147	0,786
SCO5232	0,779	1,006	0,786
SCO1771	0,539	0,733	0,785
SCO2641	0,537	0,667	0,784
SCO5118	-0,368	-0,397	0,784
SCO6722	1,626	0,665	0,781
SCO1805	0,596	0,685	0,779
SCO2761	1,476	1,422	0,778
SCO2245	0,783	0,983	0,776
SCO6739	0,382	0,645	0,775
SCO7075	0,65	0,652	0,773
SCO2127	0,363	0,461	0,771
SCO4820	0,546	1,282	0,767
SCO6444	0,435	0,999	0,766
SCO4089	1,164	0,913	0,766
SCO5357	0,663	0,63	0,766
SCO1466	0,93	1,07	0,762
SCO0308	0,625	0,877	0,757
SCO1980	0,486	0,964	0,756
SCO2882	2,24	1,476	0,755
SCO1423	0,68	0,638	0,751
SCO0445	0,469	0,823	0,749
SCO2948	0,211	0,424	0,746
SCO1670	0,807	0,929	0,742
SCO4654	0,9	0,501	0,737
SCO1026	0,618	0,454	0,736
SCO7455	0,298	0,373	0,732
SCO2666	0,408	0,551	0,73
SCO5621	0,369	0,658	0,728
SCO6675	0,553	0,712	0,725
SCO6629	0,676	0,648	0,725
SCO2681	0,532	0,884	0,723
SCO3406	1,232	1,242	0,721
SCO0975	1,088	0,724	0,72
SCO7473	2,862	0,654	0,718
SCO3043	0,755	0,804	0,712
SCO3506	0,875	0,716	0,712
