"gene","logFC","FDR","add_variable","time","data_name"
"SCO2785",-3.804,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0217",-3.228,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0217",-3.695,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0217",-5.837,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0218",-1.605,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0218",-0.858,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0218",-2.22,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO4947",-3.907,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO4947",-4.147,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO4947",-6.211,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO4948",-5.527,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO4948",-5.874,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO4948",-7.226,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO4949",-6.081,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO4949",-5.716,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO4949",-7.072,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO4950",-4.914,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO4950",-5.063,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO4950",-6.472,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6532",0.968,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6532",-1.584,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6532",-2.135,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6533",0.972,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6533",-1.984,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6533",-2.99,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6534",-0.195,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6534",-2.028,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6534",-5.044,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6535",0.215,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6535",-1.819,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6535",-4.697,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO1231",-1.602,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1231",-1.576,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1231",-1.628,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO1232",-2.201,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1232",-2.038,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1232",-2.023,0,"DdraRKvsM145",60,"draRK_scoe"
